证券代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅%,成交量(手),成交额(千元)
600519.SH,20250603,1508.01,1519,1505.02,1509,1522,-13,-0.8541,28979.18,4377892.799
600519.SH,20250604,1510.5,1523,1509.22,1509.96,1509,0.96,0.0636,23008.09,3480363.797
600519.SH,20250605,1514,1516,1502.2,1514,1509.96,4.04,0.2676,23213.66,3504925.524
600519.SH,20250606,1513.8,1518.97,1503,1506.39,1514,-7.61,-0.5026,25023.07,3777727.616
600519.SH,20250609,1505.02,1508.7,1485.68,1486.11,1506.39,-20.28,-1.3463,44958.67,6723839.138
600519.SH,20250610,1486,1492,1474.8,1475.01,1486.11,-11.1,-0.7469,30492.2,4511934.584
600519.SH,20250611,1476.8,1494,1476.1,1480,1475.01,4.99,0.3383,30892.82,4585522.755
600519.SH,20250612,1480,1483.87,1454.1,1459,1480,-21,-1.4189,49903.61,7306800.8
600519.SH,20250613,1444.41,1449.97,1425.06,1426.95,1459,-32.05,-2.1967,59113.25,8466515.559
600519.SH,20250616,1401.2,1425.04,1401.18,1422.29,1426.95,-4.66,-0.3266,42887.87,6060448.438
600519.SH,20250617,1420,1427,1412.18,1427,1422.29,4.71,0.3312,27231.51,3868364.671
600519.SH,20250618,1440,1443.44,1421.01,1425,1427,-2,-0.1402,30760.99,4404131.364
600519.SH,20250619,1426,1433.67,1417.18,1426,1425,1,0.0702,24500.72,3490268.568
600519.SH,20250620,1423.58,1441.14,1420.2,1428.66,1426,2.66,0.1865,34815.81,4990683.314
600519.SH,20250623,1420,1433,1405.18,1420,1428.66,-8.66,-0.6062,26723.31,3794012.343
600519.SH,20250624,1423.35,1451.68,1423.35,1437.2,1420,17.2,1.2113,36311.51,5229183.514
600519.SH,20250625,1439.11,1449.2,1420.51,1435.86,1437.2,-1.34,-0.0932,41050.07,5869292.227
600519.SH,20250626,1415,1428,1410.08,1420,1408.26,11.74,0.8337,34860.25,4955829.982
600519.SH,20250627,1420.01,1423,1403.09,1403.09,1420,-16.91,-1.1908,38249.73,5404312.675
600519.SH,20250630,1403.5,1413.23,1402,1409.52,1403.09,6.43,0.4583,30457.3,4287373.691
600519.SH,20250701,1409,1411.94,1403.31,1405.1,1409.52,-4.42,-0.3136,19878.19,2794423.203
600519.SH,20250702,1409.5,1414.8,1400,1409.6,1405.1,4.5,0.3203,26218.25,3689246.316
600519.SH,20250703,1412,1422.69,1408,1415.6,1409.6,6,0.4257,24412.67,3456733.002
600519.SH,20250704,1415.7,1431.89,1410.01,1422.22,1415.6,6.62,0.4676,28766.91,4086547.268
600519.SH,20250707,1422.28,1423.5,1410.01,1410.7,1422.22,-11.52,-0.81,23854.67,3370562.659
600519.SH,20250708,1410.71,1420,1410.7,1416.11,1410.7,5.41,0.3835,18673.7,2643302.691
600519.SH,20250709,1415,1429.97,1414.17,1418.88,1416.11,2.77,0.1956,27745.32,3950810.723
600519.SH,20250710,1418.97,1436.18,1410.4,1426.5,1418.88,7.62,0.537,38725.03,5503329.754
600519.SH,20250711,1423.16,1458,1423.16,1427,1426.5,0.5,0.0351,57243.35,8239010.39
600519.SH,20250714,1430,1434.98,1421.6,1423.6,1427,-3.4,-0.2383,27780.94,3961736.006
600519.SH,20250715,1420.98,1422.93,1408.32,1411,1423.6,-12.6,-0.8851,35405.78,5005150.165
600519.SH,20250716,1410.01,1417.49,1409.95,1411.03,1411,0.03,0.0021,21286.05,3006882.579
600519.SH,20250717,1413.98,1423.01,1412.88,1416.35,1411.03,5.32,0.377,23105.54,3273100.406
600519.SH,20250718,1420,1437.81,1416.38,1437,1416.35,20.65,1.458,41823.41,5984949.774
600519.SH,20250721,1436.99,1446.8,1435,1443,1437,6,0.4175,26203.31,3779891.829
600519.SH,20250722,1444,1466.6,1440.68,1464.98,1443,21.98,1.5232,42118.98,6127636.851
600519.SH,20250723,1469,1495,1468.95,1475.5,1464.98,10.52,0.7181,45044.84,6676301.462
600519.SH,20250724,1476,1499,1475,1491.5,1475.5,16,1.0844,38803.64,5786337.377
600519.SH,20250725,1491.4,1491.4,1453,1455,1491.5,-36.5,-2.4472,41911.26,6140078.741
600519.SH,20250728,1453,1454.99,1436.3,1438.66,1455,-16.34,-1.123,38586.32,5560966.386
600519.SH,20250729,1439.6,1448.79,1435.01,1439,1438.66,0.34,0.0236,26304.08,3785848.102
600519.SH,20250730,1444,1457.16,1437,1449.44,1439,10.44,0.7255,31867.71,4612883.04
600519.SH,20250731,1443,1444.87,1418,1421.67,1449.44,-27.77,-1.9159,51797.51,7386302.758
600519.SH,20250801,1421.87,1425.96,1414,1417,1421.67,-4.67,-0.3285,29635.59,4200850.79
600519.SH,20250804,1415,1419.8,1414,1419,1417,2,0.1411,18687.95,2647105.74
600519.SH,20250805,1421,1429.94,1417.11,1427.74,1419,8.74,0.6159,25342.27,3607931.488
600519.SH,20250806,1429,1429,1419.3,1423.88,1427.74,-3.86,-0.2704,23699.28,3372334.94
600519.SH,20250807,1423.88,1427.7,1420.06,1422.35,1423.88,-1.53,-0.1075,28001.34,3988765.795
600519.SH,20250808,1423.05,1426.5,1418,1420.97,1422.35,-1.38,-0.097,18655.28,2651478.118
600519.SH,20250811,1423.5,1451.99,1423,1445,1420.97,24.03,1.6911,47159.07,6794034.09
600519.SH,20250812,1449,1465.07,1436,1437.04,1445,-7.96,-0.5509,42019.23,6095342.036
600519.SH,20250813,1425,1433.68,1420,1420.05,1437.04,-16.99,-1.1823,65527.54,9325460.101
600519.SH,20250814,1420.94,1447.51,1420.94,1426.99,1420.05,6.94,0.4887,48129.3,6897535.33
600519.SH,20250815,1426.01,1428.66,1420.22,1422.08,1426.99,-4.91,-0.3441,47581.65,6772436.997
600519.SH,20250818,1426.99,1436.64,1423.1,1428.5,1422.08,6.42,0.4515,47377.98,6773477.871
600519.SH,20250819,1433.5,1446.66,1432,1438,1428.5,9.5,0.665,46371.86,6678541.001
600519.SH,20250820,1438,1452.8,1430.02,1450,1438,12,0.8345,45804.66,6623095.725
600519.SH,20250821,1453.45,1454.99,1443.65,1448.25,1450,-1.75,-0.1207,30890.57,4470441.662
600519.SH,20250822,1448.88,1464,1444.77,1463.95,1448.25,15.7,1.0841,44970.58,6544867.368
600519.SH,20250825,1470.01,1496,1466,1490.33,1463.95,26.38,1.802,65324.55,9676719.498
600519.SH,20250826,1490.32,1494.23,1480.01,1481.61,1490.33,-8.72,-0.5851,39602.13,5883917
600519.SH,20250827,1481.88,1484.93,1448,1448,1481.61,-33.61,-2.2685,56006.09,8184169.113
600519.SH,20250828,1447.97,1456.1,1438.77,1446.1,1448,-1.9,-0.1312,39281.77,5683673.273
600519.SH,20250829,1453,1482.58,1452,1480,1446.1,33.9,2.3442,62256.48,9159701.454
600519.SH,20250901,1482.2,1488,1465.7,1476.1,1480,-3.9,-0.2635,45123.38,6658918.555
600519.SH,20250902,1478.66,1509,1478,1491.3,1476.1,15.2,1.0297,56688.37,8470012.816
600519.SH,20250903,1491,1503.5,1466,1480.55,1491.3,-10.75,-0.7208,45045.03,6656011.145
600519.SH,20250904,1472,1479.3,1460.47,1472.66,1480.55,-7.89,-0.5329,47746.76,7017084.75
600519.SH,20250905,1471,1486.97,1464,1483,1472.66,10.34,0.7021,37388.48,5519312.163
600519.SH,20250908,1483,1506.44,1477.5,1501.23,1483,18.23,1.2293,51382.98,7682065.696
600519.SH,20250909,1505,1509.95,1493.42,1505,1501.23,3.77,0.2511,35742.77,5366650.005
600519.SH,20250910,1506.66,1529.95,1496,1522.01,1505,17.01,1.1302,49663.31,7541460.049
600519.SH,20250911,1522.01,1526.02,1508.5,1523.5,1522.01,1.49,0.0979,37238.96,5642778.456
600519.SH,20250912,1526,1538.02,1510.53,1516,1523.5,-7.5,-0.4923,33722.09,5132184.935
600519.SH,20250915,1515.87,1517.48,1501.5,1515.1,1516,-0.9,-0.0594,25827.03,3901929.718
600519.SH,20250916,1515.1,1520.99,1496.21,1499.98,1515.1,-15.12,-0.998,32717.89,4928374.478
600519.SH,20250917,1499.99,1510.28,1490.01,1493,1499.98,-6.98,-0.4653,30330.54,4534770.634
600519.SH,20250918,1492,1497.8,1463.5,1467.96,1493,-25.04,-1.6772,49721.25,7347477.479
600519.SH,20250919,1467.99,1475.5,1457.01,1467.97,1467.96,0.01,0.0007,32636.62,4784528.851
600519.SH,20250922,1465.09,1467.97,1450.01,1453.35,1467.97,-14.62,-0.9959,34947.08,5085057.536
600519.SH,20250923,1450.5,1457.5,1440,1447.42,1453.35,-5.93,-0.408,38663,5588384.388
600519.SH,20250924,1434.07,1456.78,1434.07,1442,1447.42,-5.42,-0.3745,30743.5,4443052.872
600519.SH,20250925,1442.83,1445.21,1436,1439,1442,-3,-0.208,33869.73,4873274.661
600519.SH,20250926,1441.18,1447.11,1428.01,1435,1439,-4,-0.278,45120.71,6480889.597
600519.SH,20250929,1439.38,1469.99,1435,1460.86,1435,25.86,1.8021,53684.03,7798434.586
600519.SH,20250930,1460,1460.76,1440,1443.99,1460.86,-16.87,-1.1548,39363.62,5687474.876
600519.SH,20251009,1436,1439.38,1420,1436.78,1443.99,-7.21,-0.4993,54918.12,7845448.947
600519.SH,20251010,1437.6,1439.94,1427.5,1430,1436.78,-6.78,-0.4719,36001.44,5157459.262
600519.SH,20251013,1415.7,1422.85,1415.12,1419.2,1430,-10.8,-0.7552,46068.8,6533147.458
600519.SH,20251014,1429.99,1464,1429.99,1451.02,1419.2,31.82,2.2421,66672.33,9639484.605
600519.SH,20251015,1450.98,1463,1445.08,1462,1451.02,10.98,0.7567,42785.4,6233407.482
600519.SH,20251016,1461.92,1484.95,1458.88,1484.91,1462,22.91,1.567,45730.15,6749162.949
